2018/07/23 20:33:15 -0700 631 | 1532403195 | 3297 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/23 20:33:15 -0700 941 | 1532403195 | 51328 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/23 20:33:16 -0700 218 | 1532403196 | 33471 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/23 20:33:16 -0700 463 | 1532403196 | 9757 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/23 20:33:16 -0700 703 | 1532403196 | 79177 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/23 20:33:16 -0700 944 | 1532403196 | 24262 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/23 20:33:17 -0700 188 | 1532403197 | 39076 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/23 20:33:18 -0700 695 | 1532403198 | 98091 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/23 20:33:18 -0700 924 | 1532403198 | 22336 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/23 20:33:19 -0700 166 | 1532403199 | 98193 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/23 20:33:19 -0700 385 | 1532403199 | 89974 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2018/07/24 00:38:23 -0700 542 | 1532417903 | 90841 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 399 Admin request but invalid credentials: 2
